Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Ss_30-3_T5,0.006968841989073,-2.15683938252441,0,C3,Ss_30-3_T5
Ss_30-7_T5,0.006368173880283,-2.19598508688211,0,C3,Ss_30-7_T5
Ss_20-17_T5,0.007821672927832,-2.10670034852294,0,C1,Ss_20-17_T5
Ss_20-23_T5,0.007583913588269,-2.12010662402858,0,C1,Ss_20-23_T5
Ss_20-3_T5,0.003957854804193,-2.40254014213934,0,C1,Ss_20-3_T5
Ss_22-31_T5,1.07966685976635,0.033289770964599,1,D,Ss_22-31_T5
Ss_22-34_T5,0.448985255382666,-0.347767920936743,1,D,Ss_22-34_T5
Ss_22-42_T5,0.237422502934576,-0.624478120945202,1,D,Ss_22-42_T5
Ss_23-71_T5,0.041478085082045,-1.38218130188517,1,D,Ss_23-71_T5
Ss_23-81_T5,0.101753759490821,-0.992449535950844,0.98514142627022,D,Ss_23-81_T5
Ss_27-68_T5,0.025326696249976,-1.59642145821507,0.995133079103293,D,Ss_27-68_T5
Ss_27-77_T5,0.536546897504104,-0.270392312025884,1,D,Ss_27-77_T5
Ss_27-87_T5,0.025623979597521,-1.59135342014065,1,D,Ss_27-87_T5
Ss_27-98_T5,0.031313773671299,-1.50426459172945,1,D,Ss_27-98_T5
Ss_28-14_T5,0.013792272644558,-1.86036416633543,0.521922091647646,D,Ss_28-14_T5
Ss_28-19_T5,0.023306985357612,-1.63251389667343,0.494671568922572,C1,Ss_28-19_T5
Ss_28-23_T5,0.053203103819322,-1.27406303063194,0.873387888297822,D,Ss_28-23_T5
Ss_24-28_T5,0.070072017917302,-1.15445537561717,0.168868148964536,C3,Ss_24-28_T5
Ss_30-18_T5,0.039715509701768,-1.4010398594209,0,C3,Ss_30-18_T5
Ss_30-22_T5,0.051740956105948,-1.28616555034501,0,C3,Ss_30-22_T5
Ss_30-25_T5,0.027664758759901,-1.55807311253462,0,C3,Ss_30-25_T5
